BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),Status (Tags),Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label
15450240,1659043486,0.515018315,1,1,1,1,92,2699,75,1,112,2939,6658,51,1
6379281,1660912130,0,1,1,0,1,53,2561,47,1,115,1740,4447,54,1
5468684,1524145611,0,1,0,0,0,62,1551,86,2,101,1913,2224,0,0
15450240,1645535000,0.511077034,1,1,1,1,88,1448,72,1,75,2107,4790,55,1
5740662,1524995972,0,1,0,0,1,39,890,79,1,98,1495,3534,58,0
6181720,1524145611,0,1,0,0,1,62,1720,43,1,199,1495,3199,4,0
6535620,1524145611,0.520243195,1,0,0,0,36,1719,16,2,116,2786,2821,0,0
15450240,1639486924,0.48069954,1,1,1,1,30,1706,43,1,98,1752,5329,54,1
14949108,1524145611,0,1,0,0,1,30,1153,31,1,89,1285,3021,0,0
6169580,1524145611,0,1,0,0,1,174,1507,61,3,109,1450,1778,27,1
5737652,1525770253,0.018478241,1,0,0,0,40,1328,43,2,75,1725,1766,26,0
15450240,1525147341,0,1,1,0,1,55,1794,37,1,44,2338,2518,0,1
6076992,1524145611,0,1,0,0,0,45,995,47,2,96,1451,2023,28,0
6266486,1524145611,0,1,0,0,1,48,2748,57,1,80,1789,2929,53,0
12197648,1645191668,0.55572316,1,0,1,1,115,1108,30,3,95,3166,4127,59,0
5588913,1641721864,0.439176445,1,0,1,1,37,684,65,2,87,1432,3955,0,1
5939592,1525031314,0,1,0,0,1,44,1536,26,2,102,1819,3906,30,0
11944433,1524145611,0,1,1,0,1,42,1713,56,2,97,1232,2613,29,0
5825724,1524145611,0.008642333,1,0,0,1,44,885,69,2,74,1689,2392,26,0
15450240,1652809698,0,1,1,1,1,42,1677,418,1,100,1593,2993,24,1
5939681,1524145611,0.01117977,0,0,0,1,72,923,67,2,79,1608,3199,27,0
5468684,1586274108,0,1,1,0,1,44,1365,52,2,75,1915,3462,28,0
6069932,1524145611,0.011097017,1,0,0,1,66,1729,71,2,115,1689,2456,26,0
10227483,1634563152,0,1,1,1,1,130,1490,58,2,90,1396,3188,59,1
14977170,1656374829,0.524131879,1,1,1,1,43,1523,36,1,73,1738,3015,54,1
5835625,1524145611,0,1,0,0,0,96,1126,68,3,76,1552,4614,27,0
5699174,1524145611,0,1,0,0,0,71,1090,51,2,97,1457,2278,0,0
15450240,1653245050,0.434090439,1,1,1,1,104,2692,27,1,118,1254,5121,51,1
15328152,1653297152,0.52580019,1,1,1,1,114,1564,39,3,73,1245,2767,55,1
5903457,1524145611,0,0,0,0,1,64,804,70,1,83,1746,3352,0,0
