               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08436,            0.026039,            0.026063,             0.67765,             0.14281,             0.17858,            0.073166,            0.045238,            0.011018,            0.018257,              0.0704,           0.0032889,           0.0032889
                   1,            0.055148,            0.020105,            0.021458,             0.22587,              0.4361,             0.25621,             0.12365,            0.040509,           0.0069877,            0.018513,            0.040318,           0.0065403,           0.0065403
                   2,            0.050722,            0.018097,            0.017396,             0.30525,             0.37471,             0.30374,             0.12642,            0.038899,           0.0071568,             0.01346,            0.010154,           0.0097092,           0.0097092
                   3,            0.045987,            0.017007,            0.015088,             0.35571,             0.46378,             0.35098,             0.15103,            0.035829,           0.0071405,            0.024628,           0.0096288,           0.0096288,           0.0096288
                   4,            0.044102,            0.016944,            0.012603,             0.45443,             0.51155,             0.48582,             0.22841,             0.03141,           0.0070758,            0.010771,           0.0096288,           0.0096288,           0.0096288
                   5,            0.043323,              0.0165,            0.010932,             0.28401,              0.3607,             0.26393,             0.11278,            0.036959,           0.0076706,            0.012812,            0.009505,            0.009505,            0.009505
                   6,            0.040312,            0.015807,            0.010878,             0.38037,             0.47342,             0.35882,             0.19245,            0.028267,           0.0072171,            0.024144,           0.0093813,           0.0093813,           0.0093813
                   7,            0.038871,            0.016138,           0.0093693,              0.3588,             0.47042,             0.38672,             0.19215,            0.031691,           0.0076116,            0.019567,           0.0092575,           0.0092575,           0.0092575
                   8,            0.037108,            0.016069,           0.0099266,             0.55542,             0.39678,             0.44971,             0.23073,            0.029582,           0.0069789,            0.014377,           0.0091337,           0.0091337,           0.0091337
                   9,            0.037027,            0.015536,           0.0079235,             0.37329,              0.5323,             0.44391,             0.23768,             0.02634,           0.0069302,            0.020269,             0.00901,             0.00901,             0.00901
                  10,            0.035721,             0.01545,           0.0096866,             0.59106,             0.31619,             0.35784,             0.18694,            0.027805,            0.008215,            0.016463,           0.0088863,           0.0088863,           0.0088863
                  11,            0.034638,            0.014608,           0.0075995,             0.41907,             0.43643,             0.42702,             0.22987,            0.025764,           0.0072591,            0.015772,           0.0087625,           0.0087625,           0.0087625
                  12,            0.033188,            0.014185,           0.0083877,             0.43954,              0.5036,             0.47148,             0.25593,             0.02743,           0.0068419,            0.011486,           0.0086388,           0.0086388,           0.0086388
